"pathway","pval","padj","overlap","size","overlapGenes"
"C1_Unknown",0.17154499295985,1,1,8041,"MLTN-11"
"C1_Cell cycle",1,1,0,171,""
"C1_Chaperone",1,1,0,86,""
"C1_Cilia",1,1,0,60,""
"C1_Cytoskeleton",1,1,0,368,""
"C1_Development",1,1,0,292,""
"C1_DNA",1,1,0,175,""
"C1_Extracellular material",1,1,0,484,""
"C1_Globin",1,1,0,36,""
"C1_Lysosome",1,1,0,90,""
"C1_Major sperm protein",1,1,0,31,""
"C1_Metabolism",1,1,0,1557,""
"C1_mRNA functions",1,1,0,378,""
"C1_Muscle function",1,1,0,62,""
"C1_Neuronal function",1,1,0,308,""
"C1_Non-coding RNA",1,1,0,9512,""
"C1_Nuclear pore",1,1,0,36,""
"C1_Nucleic acid",1,1,0,229,""
"C1_Peroxisome",1,1,0,15,""
"C1_Protein modification",1,1,0,266,""
"C1_Proteolysis general",1,1,0,395,""
"C1_Proteolysis proteasome",1,1,0,737,""
"C1_Pseudogene",1,1,0,1898,""
"C1_Ribosome",1,1,0,244,""
"C1_Signaling",1,1,0,1190,""
"C1_Stress response",1,1,0,808,""
"C1_Trafficking",1,1,0,202,""
"C1_Transcription factor",1,1,0,581,""
"C1_Transcription: chromatin",1,1,0,222,""
"C1_Transcription: general machinery",1,1,0,145,""
"C1_Transmembrane protein",1,1,0,1790,""
"C1_Transmembrane transport",1,1,0,857,""
"C2_Unknown",0.17154499295985,1,1,8041,"MLTN-11"
"C2_Cell cycle: APC",1,1,0,16,""
"C2_Cell cycle: chromosome dynamics",1,1,0,65,""
"C2_Cell cycle: kinase",1,1,0,23,""
"C2_Cell cycle: meiotic/mitotic spindle",1,1,0,23,""
"C2_Cell cycle: other",1,1,0,26,""
"C2_Chaperone: cyclophilin",1,1,0,28,""
"C2_Chaperone: DnaJ domain",1,1,0,31,""
"C2_Cilia: IFT",1,1,0,38,""
"C2_Cytoskeleton: actin function",1,1,0,40,""
"C2_Cytoskeleton: claudin",1,1,0,15,""
"C2_Cytoskeleton: innexin",1,1,0,24,""
"C2_Cytoskeleton: microtubule",1,1,0,128,""
"C2_Cytoskeleton: motor protein",1,1,0,41,""
"C2_Cytoskeleton: other",1,1,0,76,""
"C2_Development: apoptosis",1,1,0,64,""
"C2_Development: general",1,1,0,81,""
"C2_Development: germline",1,1,0,20,""
"C2_Development: somatic",1,1,0,122,""
"C2_DNA: nuclease",1,1,0,17,""
"C2_DNA: repair",1,1,0,67,""
"C2_DNA: replication",1,1,0,69,""
"C2_Extracellular material: chitinase",1,1,0,38,""
"C2_Extracellular Material: chondroitin sulfotransferase",1,1,0,27,""
"C2_Extracellular material: collagen",1,1,0,185,""
"C2_Extracellular material: cuticlin",1,1,0,35,""
"C2_Extracellular material: galectin",1,1,0,25,""
"C2_Extracellular material: matrix",1,1,0,66,""
"C2_Extracellular material: PGI",1,1,0,53,""
"C2_Extracellular material: secreted protein",1,1,0,43,""
"C2_Globin",1,1,0,36,""
"C2_Lysosome: acid phosphatase",1,1,0,31,""
"C2_Lysosome: autophagy",1,1,0,25,""
"C2_Lysosome: Vacuolar ATPase",1,1,0,22,""
"C2_Major sperm protein",1,1,0,31,""
"C2_Metabolism: 1CC",1,1,0,30,""
"C2_Metabolism: amino acid",1,1,0,82,""
"C2_Metabolism: carbohydrate",1,1,0,83,""
"C2_Metabolism: glutathione",1,1,0,20,""
"C2_Metabolism: glycolysis",1,1,0,37,""
"C2_Metabolism: insulin",1,1,0,40,""
"C2_Metabolism: lipid",1,1,0,523,""
"C2_Metabolism: mitochondria",1,1,0,330,""
"C2_Metabolism: nucleotide",1,1,0,108,""
"C2_Metabolism: other",1,1,0,189,""
"C2_Metabolism: short chain dehydrogenase",1,1,0,42,""
"C2_mRNA functions: binding",1,1,0,101,""
"C2_mRNA functions: processing",1,1,0,269,""
"C2_Muscle function",1,1,0,62,""
"C2_Neuronal function: development",1,1,0,15,""
"C2_Neuronal function: other",1,1,0,42,""
"C2_Neuronal function: synaptic function",1,1,0,244,""
"C2_Non-coding RNA: asRNA",1,1,0,16,""
"C2_Non-coding RNA: linc",1,1,0,174,""
"C2_Non-coding RNA: miRNA",1,1,0,257,""
"C2_Non-coding RNA: ncRNA",1,1,0,7850,""
"C2_Non-coding RNA: small RNA",1,1,0,51,""
"C2_Non-coding RNA: snoRNA",1,1,0,344,""
"C2_Non-coding RNA: snRNA",1,1,0,129,""
"C2_Non-coding RNA: tRNA",1,1,0,688,""
"C2_Nuclear pore: structure",1,1,0,28,""
"C2_Nucleic acid: binding",1,1,0,227,""
