"pathway","pval","padj","overlap","size","overlapGenes"
"C1_Unknown",1.45387194928728e-71,4.6523902377193e-70,372,8041,"B0034.1;CEST-30;B0348.1;B0457.4;B0554.2;BATH-13;BATH-30;BATH-35;BTB-12;C01B9.4;C03A7.2;C04A11.5;C04G2.5;C06C3.7;C06C6.9;C06E1.11;C07A9.13;C07G3.8;C08E8.11;C14E2.5;C14E2.6;C15F1.8;C16A11.3;C16C8.13;C17B7.5;C18B10.6;C24H12.6;C26D10.7;C27A12.4;C30G4.2;C32H11.5;C33C12.11;C33D3.5;C33E10.10;C34B2.11;C35D6.13;C44B11.6;C46G7.5;C49C3.4;C49G7.13;C53A5.9;C53B7.6;CLX-1;E02H4.4;E03H4.4;ENU-3.3;F02C12.3;F02D10.3;F07G11.2;F07G11.4;F09C6.15;F13A2.3;F13C5.5;F14D7.10;F14F7.7;F14F8.14;F14F9.2;F14H12.17;F15D4.5;F16H6.3;F18A12.7;F19B10.6;F19B2.5;F20B6.9;F20E11.7;F21D9.8;F21H7.3;F25H2.3;F26A3.5;F26C11.3;F26F2.2;F29A7.3;F31D5.7;F31F6.2;F33E2.6;F35E8.2;F36D1.12;F36D3.4;F36H12.17;F36H2.6;F36H5.17;F37C12.14;F38E11.9;F40G9.18;F40G9.7;F41D3.8;F42A6.1;F42A6.5;F42H11.1;F43C11.2;F46A8.11;F47B7.3;F49B2.7;F49C5.3;F49D11.11;F49F1.2;F49H6.8;F52D2.6;F53C3.7;F53G2.3;F54D10.4;F54D10.7;F54D10.8;F54D12.10;F54D12.7;F54H12.4;F55B11.3;F55B11.5;F57G4.11;F58D12.3;F58E1.13;F58E2.2;F58F9.1;FNCI-1;H02F09.2;HASP-1;IRLD-19;IRLD-36;IRLD-4;IRLD-65;K01A2.12;K01A2.9;K02B2.6;K02F6.4;K03A11.4;K06A9.1;K08D9.9;K09C6.10;K09E2.3;K10C2.14;K10D11.4;CEST-28;K11H12.11;K12H6.5;K12H6.8;M01G12.7;M01G5.1;M151.2;MPZ-6;C06H5.11;C34F6.12;F37B4.15;F43E12.1;F58D12.1;T01H10.11;T26G10.8;W09G10.9;Y105C5B.1418;Y116F11B.17;Y43F8C.23;Y51H4A.941;ZK228.13;NFT-1;NSPF-2;PALS-40;PALS-9;PHF-32;R05A10.7;R05A10.8;R07B1.6;R09A8.1;R10E8.1;R160.6;R193.1;R52.4;RBC-2;SDZ-25;SID-5;SPSB-2;SQST-5;SRAP-1;SRH-85;SUP-35;T02B11.12;T02E9.6;T02H6.3;T05A8.2;T05E12.8;T06G6.4;T07F8.1;T07H3.8;T08B2.11;T08G3.11;T08G3.6;T10B11.4;T13F3.4;T14G12.12;T15B7.8;T17A3.12;T22B2.2;T22D1.1;T22H2.4;T23E1.1;T24A6.20;T24C4.8;T25B2.3;T25B6.1;T27E7.9;T28A11.3;TAG-234;W02B3.7;W03H9.1;W04E12.9;W04H10.1;W05F2.7;Y102A5C.4;Y104H12D.2;Y110A2AL.1;Y110A2AL.7;Y116A8A.7;Y116A8B.1;Y116F11B.9;Y17D7B.3;Y17D7C.6;Y19D10B.8;Y20F4.4;Y22D7AR.2;Y26D4A.21;Y26D4A.5;Y32G9A.5;Y39A1A.17;Y43F4A.3;Y46B2A.3;Y46D2A.1;Y46E12A.2;Y46E12A.5;Y46G5A.23;Y47H9B.2;Y47H9C.9;Y48B6A.10;Y48C3A.1;Y51A2A.4;Y51A2B.2;Y52B11A.11;Y56A3A.41;Y57A10A.4;Y57A10A.5;Y57G11B.8;Y57G11C.1131;Y57G7A.11;Y59A8B.19;Y60A3A.25;Y64G10A.1;Y64G10A.10;Y64G10A.2;Y66D12A.1;Y67D8C.2;Y69A2AR.47;Y69H2.1;Y69H2.3;Y71G12B.2;Y71G12B.5;Y73B3B.1;Y73C8B.5;Y73C8C.12;Y73F8A.22;Y73F8A.23;Y73F8A.32;Y75B8A.10;Y76B12C.9;Y77E11A.8;Y7A5A.8;Y82E9BL.6;Y82E9BR.19;ZC15.1;ZC15.3;ZC204.12;ZC53.1;ZK218.5;ZK353.3;ZK402.1;ZK402.2;ZK402.5;ZK418.13;PQN-39;PQN-78;B0205.10;B0454.8;B0496.2;B0507.6;B0564.6;BTB-19;C06C6.7;C08F11.3;C09F9.1;C13G5.2;C16C8.12;C16C8.5;C23G10.5;C23H3.9;C27C7.1;C28A5.2;C28F5.1;C31B8.12;C33F10.1;C36C5.12;C50E10.1;C52A10.3;CD4.1;D1081.3;E01G4.5;F10C1.3;F11E6.3;CEST-33;F14F8.8;F19B10.1;F19C7.3;F21D9.2;F25A2.1;F25G6.1;F26D2.10;F27B3.6;F27C1.3;F28A10.3;F33D11.2;F33H12.7;F35E2.5;F36G9.15;F40H6.1;F56G4.7;F58F12.3;FIPR-28;H08M01.1;H11L12.1;K01D12.15;K02F6.3;K09F6.9;K11H12.4;M116.1;M28.4;MSRP-5;R07C3.13;SDZ-4;SSQ-3;T02H6.7;T05F1.5;T06A10.2;T16A1.2;T16A9.3;T22D1.8;T23F11.2;VH15N14R.1;W02D9.6;W04E12.5;W08E12.3;Y106G6D.3;Y110A2AL.3;Y113G7B.12;Y116F11B.7;Y34F4.4;Y37H2A.11;Y37H2A.13;Y38E10A.17;Y39E4A.1;Y40A1A.3;Y41D4A.3;Y43D4A.5;Y43F11A.1;Y45F10C.1;Y46G5A.34;Y46H3C.5;Y47D7A.15;Y4C6A.4;Y51H4A.24;Y53H1C.3;Y68A4A.13;Y69A2AR.12;ZC412.5;ZK1010.5;ZK1225.4;ZK354.3;ZK899.6"
"C2_Unknown",1.45387194928728e-71,1.96272713153783e-69,372,8041,"B0034.1;CEST-30;B0348.1;B0457.4;B0554.2;BATH-13;BATH-30;BATH-35;BTB-12;C01B9.4;C03A7.2;C04A11.5;C04G2.5;C06C3.7;C06C6.9;C06E1.11;C07A9.13;C07G3.8;C08E8.11;C14E2.5;C14E2.6;C15F1.8;C16A11.3;C16C8.13;C17B7.5;C18B10.6;C24H12.6;C26D10.7;C27A12.4;C30G4.2;C32H11.5;C33C12.11;C33D3.5;C33E10.10;C34B2.11;C35D6.13;C44B11.6;C46G7.5;C49C3.4;C49G7.13;C53A5.9;C53B7.6;CLX-1;E02H4.4;E03H4.4;ENU-3.3;F02C12.3;F02D10.3;F07G11.2;F07G11.4;F09C6.15;F13A2.3;F13C5.5;F14D7.10;F14F7.7;F14F8.14;F14F9.2;F14H12.17;F15D4.5;F16H6.3;F18A12.7;F19B10.6;F19B2.5;F20B6.9;F20E11.7;F21D9.8;F21H7.3;F25H2.3;F26A3.5;F26C11.3;F26F2.2;F29A7.3;F31D5.7;F31F6.2;F33E2.6;F35E8.2;F36D1.12;F36D3.4;F36H12.17;F36H2.6;F36H5.17;F37C12.14;F38E11.9;F40G9.18;F40G9.7;F41D3.8;F42A6.1;F42A6.5;F42H11.1;F43C11.2;F46A8.11;F47B7.3;F49B2.7;F49C5.3;F49D11.11;F49F1.2;F49H6.8;F52D2.6;F53C3.7;F53G2.3;F54D10.4;F54D10.7;F54D10.8;F54D12.10;F54D12.7;F54H12.4;F55B11.3;F55B11.5;F57G4.11;F58D12.3;F58E1.13;F58E2.2;F58F9.1;FNCI-1;H02F09.2;HASP-1;IRLD-19;IRLD-36;IRLD-4;IRLD-65;K01A2.12;K01A2.9;K02B2.6;K02F6.4;K03A11.4;K06A9.1;K08D9.9;K09C6.10;K09E2.3;K10C2.14;K10D11.4;CEST-28;K11H12.11;K12H6.5;K12H6.8;M01G12.7;M01G5.1;M151.2;MPZ-6;C06H5.11;C34F6.12;F37B4.15;F43E12.1;F58D12.1;T01H10.11;T26G10.8;W09G10.9;Y105C5B.1418;Y116F11B.17;Y43F8C.23;Y51H4A.941;ZK228.13;NFT-1;NSPF-2;PALS-40;PALS-9;PHF-32;R05A10.7;R05A10.8;R07B1.6;R09A8.1;R10E8.1;R160.6;R193.1;R52.4;RBC-2;SDZ-25;SID-5;SPSB-2;SQST-5;SRAP-1;SRH-85;SUP-35;T02B11.12;T02E9.6;T02H6.3;T05A8.2;T05E12.8;T06G6.4;T07F8.1;T07H3.8;T08B2.11;T08G3.11;T08G3.6;T10B11.4;T13F3.4;T14G12.12;T15B7.8;T17A3.12;T22B2.2;T22D1.1;T22H2.4;T23E1.1;T24A6.20;T24C4.8;T25B2.3;T25B6.1;T27E7.9;T28A11.3;TAG-234;W02B3.7;W03H9.1;W04E12.9;W04H10.1;W05F2.7;Y102A5C.4;Y104H12D.2;Y110A2AL.1;Y110A2AL.7;Y116A8A.7;Y116A8B.1;Y116F11B.9;Y17D7B.3;Y17D7C.6;Y19D10B.8;Y20F4.4;Y22D7AR.2;Y26D4A.21;Y26D4A.5;Y32G9A.5;Y39A1A.17;Y43F4A.3;Y46B2A.3;Y46D2A.1;Y46E12A.2;Y46E12A.5;Y46G5A.23;Y47H9B.2;Y47H9C.9;Y48B6A.10;Y48C3A.1;Y51A2A.4;Y51A2B.2;Y52B11A.11;Y56A3A.41;Y57A10A.4;Y57A10A.5;Y57G11B.8;Y57G11C.1131;Y57G7A.11;Y59A8B.19;Y60A3A.25;Y64G10A.1;Y64G10A.10;Y64G10A.2;Y66D12A.1;Y67D8C.2;Y69A2AR.47;Y69H2.1;Y69H2.3;Y71G12B.2;Y71G12B.5;Y73B3B.1;Y73C8B.5;Y73C8C.12;Y73F8A.22;Y73F8A.23;Y73F8A.32;Y75B8A.10;Y76B12C.9;Y77E11A.8;Y7A5A.8;Y82E9BL.6;Y82E9BR.19;ZC15.1;ZC15.3;ZC204.12;ZC53.1;ZK218.5;ZK353.3;ZK402.1;ZK402.2;ZK402.5;ZK418.13;PQN-39;PQN-78;B0205.10;B0454.8;B0496.2;B0507.6;B0564.6;BTB-19;C06C6.7;C08F11.3;C09F9.1;C13G5.2;C16C8.12;C16C8.5;C23G10.5;C23H3.9;C27C7.1;C28A5.2;C28F5.1;C31B8.12;C33F10.1;C36C5.12;C50E10.1;C52A10.3;CD4.1;D1081.3;E01G4.5;F10C1.3;F11E6.3;CEST-33;F14F8.8;F19B10.1;F19C7.3;F21D9.2;F25A2.1;F25G6.1;F26D2.10;F27B3.6;F27C1.3;F28A10.3;F33D11.2;F33H12.7;F35E2.5;F36G9.15;F40H6.1;F56G4.7;F58F12.3;FIPR-28;H08M01.1;H11L12.1;K01D12.15;K02F6.3;K09F6.9;K11H12.4;M116.1;M28.4;MSRP-5;R07C3.13;SDZ-4;SSQ-3;T02H6.7;T05F1.5;T06A10.2;T16A1.2;T16A9.3;T22D1.8;T23F11.2;VH15N14R.1;W02D9.6;W04E12.5;W08E12.3;Y106G6D.3;Y110A2AL.3;Y113G7B.12;Y116F11B.7;Y34F4.4;Y37H2A.11;Y37H2A.13;Y38E10A.17;Y39E4A.1;Y40A1A.3;Y41D4A.3;Y43D4A.5;Y43F11A.1;Y45F10C.1;Y46G5A.34;Y46H3C.5;Y47D7A.15;Y4C6A.4;Y51H4A.24;Y53H1C.3;Y68A4A.13;Y69A2AR.12;ZC412.5;ZK1010.5;ZK1225.4;ZK354.3;ZK899.6"
"C3_Unknown",8.75881914815473e-52,1.81307556366803e-49,274,5739,"B0034.1;CEST-30;B0348.1;B0457.4;B0554.2;BATH-13;BATH-30;BATH-35;BTB-12;C01B9.4;C03A7.2;C04A11.5;C04G2.5;C06C3.7;C06C6.9;C06E1.11;C07A9.13;C07G3.8;C08E8.11;C14E2.5;C14E2.6;C15F1.8;C16A11.3;C16C8.13;C17B7.5;C18B10.6;C24H12.6;C26D10.7;C27A12.4;C30G4.2;C32H11.5;C33C12.11;C33D3.5;C33E10.10;C34B2.11;C35D6.13;C44B11.6;C46G7.5;C49C3.4;C49G7.13;C53A5.9;C53B7.6;CLX-1;E02H4.4;E03H4.4;ENU-3.3;F02C12.3;F02D10.3;F07G11.2;F07G11.4;F09C6.15;F13A2.3;F13C5.5;F14D7.10;F14F7.7;F14F8.14;F14F9.2;F14H12.17;F15D4.5;F16H6.3;F18A12.7;F19B10.6;F19B2.5;F20B6.9;F20E11.7;F21D9.8;F21H7.3;F25H2.3;F26A3.5;F26C11.3;F26F2.2;F29A7.3;F31D5.7;F31F6.2;F33E2.6;F35E8.2;F36D1.12;F36D3.4;F36H12.17;F36H2.6;F36H5.17;F37C12.14;F38E11.9;F40G9.18;F40G9.7;F41D3.8;F42A6.1;F42A6.5;F42H11.1;F43C11.2;F46A8.11;F47B7.3;F49B2.7;F49C5.3;F49D11.11;F49F1.2;F49H6.8;F52D2.6;F53C3.7;F53G2.3;F54D10.4;F54D10.7;F54D10.8;F54D12.10;F54D12.7;F54H12.4;F55B11.3;F55B11.5;F57G4.11;F58D12.3;F58E1.13;F58E2.2;F58F9.1;FNCI-1;H02F09.2;HASP-1;IRLD-19;IRLD-36;IRLD-4;IRLD-65;K01A2.12;K01A2.9;K02B2.6;K02F6.4;K03A11.4;K06A9.1;K08D9.9;K09C6.10;K09E2.3;K10C2.14;K10D11.4;CEST-28;K11H12.11;K12H6.5;K12H6.8;M01G12.7;M01G5.1;M151.2;MPZ-6;C06H5.11;C34F6.12;F37B4.15;F43E12.1;F58D12.1;T01H10.11;T26G10.8;W09G10.9;Y105C5B.1418;Y116F11B.17;Y43F8C.23;Y51H4A.941;ZK228.13;NFT-1;NSPF-2;PALS-40;PALS-9;PHF-32;R05A10.7;R05A10.8;R07B1.6;R09A8.1;R10E8.1;R160.6;R193.1;R52.4;RBC-2;SDZ-25;SID-5;SPSB-2;SQST-5;SRAP-1;SRH-85;SUP-35;T02B11.12;T02E9.6;T02H6.3;T05A8.2;T05E12.8;T06G6.4;T07F8.1;T07H3.8;T08B2.11;T08G3.11;T08G3.6;T10B11.4;T13F3.4;T14G12.12;T15B7.8;T17A3.12;T22B2.2;T22D1.1;T22H2.4;T23E1.1;T24A6.20;T24C4.8;T25B2.3;T25B6.1;T27E7.9;T28A11.3;TAG-234;W02B3.7;W03H9.1;W04E12.9;W04H10.1;W05F2.7;Y102A5C.4;Y104H12D.2;Y110A2AL.1;Y110A2AL.7;Y116A8A.7;Y116A8B.1;Y116F11B.9;Y17D7B.3;Y17D7C.6;Y19D10B.8;Y20F4.4;Y22D7AR.2;Y26D4A.21;Y26D4A.5;Y32G9A.5;Y39A1A.17;Y43F4A.3;Y46B2A.3;Y46D2A.1;Y46E12A.2;Y46E12A.5;Y46G5A.23;Y47H9B.2;Y47H9C.9;Y48B6A.10;Y48C3A.1;Y51A2A.4;Y51A2B.2;Y52B11A.11;Y56A3A.41;Y57A10A.4;Y57A10A.5;Y57G11B.8;Y57G11C.1131;Y57G7A.11;Y59A8B.19;Y60A3A.25;Y64G10A.1;Y64G10A.10;Y64G10A.2;Y66D12A.1;Y67D8C.2;Y69A2AR.47;Y69H2.1;Y69H2.3;Y71G12B.2;Y71G12B.5;Y73B3B.1;Y73C8B.5;Y73C8C.12;Y73F8A.22;Y73F8A.23;Y73F8A.32;Y75B8A.10;Y76B12C.9;Y77E11A.8;Y7A5A.8;Y82E9BL.6;Y82E9BR.19;ZC15.1;ZC15.3;ZC204.12;ZC53.1;ZK218.5;ZK353.3;ZK402.1;ZK402.2;ZK402.5;ZK418.13"
"C2_Transmembrane protein: seven transmembrane receptor",4.67394084168059e-40,3.1549100681344e-38,116,1461,"DMSR-3;B0244.7;C06B3.1;F27E5.8;R10E8.5;SDZ-18;T26H8.5;Y116A8C.40;Y55F3C.10;SRA-12;SRA-20;SRA-8;SRB-11;SRB-3;SRB-5;SRBC-38;SRBC-40;SRBC-59;SRBC-6;SRBC-62;SRBC-68;SRBC-71;SRBC-79;SRD-27;SRE-26;SRH-113;SRH-123;SRH-145;SRH-149;SRH-181;SRH-217;SRH-22;SRH-245;SRH-251;SRH-255;SRH-28;SRH-283;SRH-284;SRH-289;SRH-290;SRH-291;SRH-299;SRH-303;SRH-304;SRH-45;SRH-48;SRH-59;SRH-67;SRH-74;SRI-25;SRI-31;SRI-34;SRI-38;SRI-40;SRI-43;SRI-57;SRI-78;SRI-74;SRJ-1;SRJ-25;SRJ-4;SRJ-45;SRR-9;SRSX-37;SRSX-39;SRT-11;SRT-17;SRT-4;SRU-20;SRU-3;SRU-31;SRU-35;SRV-22;SRV-28;SRW-109;SRW-11;SRW-122;SRW-14;SRW-20;SRW-36;SRW-42;SRW-54;SRW-63;SRW-83;SRX-114;SRX-121;SRX-24;SRX-31;SRX-42;SRX-50;SRX-87;SRX-88;SRX-90;SRXA-19;SRZ-10;SRZ-12;SRZ-13;SRZ-18;SRZ-23;SRZ-54;SRZ-59;SRZ-71;SRZ-90;SRZ-94;STR-101;STR-103;STR-134;STR-148;STR-185;STR-198;STR-208;STR-209;STR-214;STR-228;STR-243;STR-86"
"C1_Transmembrane protein",1.12871848898706e-33,1.8059495823793e-32,119,1790,"ABU-4;ABU-7;F53C3.6;DMSR-3;B0244.7;C06B3.1;F27E5.8;R10E8.5;SDZ-18;T26H8.5;Y116A8C.40;Y55F3C.10;SRA-12;SRA-20;SRA-8;SRB-11;SRB-3;SRB-5;SRBC-38;SRBC-40;SRBC-59;SRBC-6;SRBC-62;SRBC-68;SRBC-71;SRBC-79;SRD-27;SRE-26;SRH-113;SRH-123;SRH-145;SRH-149;SRH-181;SRH-217;SRH-22;SRH-245;SRH-251;SRH-255;SRH-28;SRH-283;SRH-284;SRH-289;SRH-290;SRH-291;SRH-299;SRH-303;SRH-304;SRH-45;SRH-48;SRH-59;SRH-67;SRH-74;SRI-25;SRI-31;SRI-34;SRI-38;SRI-40;SRI-43;SRI-57;SRI-78;SRI-74;SRJ-1;SRJ-25;SRJ-4;SRJ-45;SRR-9;SRSX-37;SRSX-39;SRT-11;SRT-17;SRT-4;SRU-20;SRU-3;SRU-31;SRU-35;SRV-22;SRV-28;SRW-109;SRW-11;SRW-122;SRW-14;SRW-20;SRW-36;SRW-42;SRW-54;SRW-63;SRW-83;SRX-114;SRX-121;SRX-24;SRX-31;SRX-42;SRX-50;SRX-87;SRX-88;SRX-90;SRXA-19;SRZ-10;SRZ-12;SRZ-13;SRZ-18;SRZ-23;SRZ-54;SRZ-59;SRZ-71;SRZ-90;SRZ-94;STR-101;STR-103;STR-134;STR-148;STR-185;STR-198;STR-208;STR-209;STR-214;STR-228;STR-243;STR-86"
"C3_Proteolysis proteasome: E3: F box",2.74963489877707e-19,2.84587212023426e-17,44,445,"C33E10.8;C53A3.1;F55C9.11;FBXA-102;FBXA-114;FBXA-120;FBXA-131;FBXA-134;FBXA-136;FBXA-143;FBXA-151;FBXA-152;FBXA-155;FBXA-157;FBXA-163;FBXA-164;FBXA-165;FBXA-185;FBXA-197;FBXA-218;FBXA-35;FBXA-43;FBXA-59;FBXA-60;FBXA-95;FBXB-105;FBXB-115;FBXB-2;FBXB-20;FBXB-38;FBXB-48;FBXB-7;FBXB-71;FBXB-82;FBXB-84;FBXB-99;FBXC-17;FBXC-22;FBXC-23;FBXC-34;SDZ-33;SRH-208;T10C6.10;Y46G5A.39"
"C2_Proteolysis proteasome: E3",1.24926173479653e-18,5.62167780658437e-17,50,598,"C33E10.8;C53A3.1;F55C9.11;FBXA-102;FBXA-114;FBXA-120;FBXA-131;FBXA-134;FBXA-136;FBXA-143;FBXA-151;FBXA-152;FBXA-155;FBXA-157;FBXA-163;FBXA-164;FBXA-165;FBXA-185;FBXA-197;FBXA-218;FBXA-35;FBXA-43;FBXA-59;FBXA-60;FBXA-95;FBXB-105;FBXB-115;FBXB-2;FBXB-20;FBXB-38;FBXB-48;FBXB-7;FBXB-71;FBXB-82;FBXB-84;FBXB-99;FBXC-17;FBXC-22;FBXC-23;FBXC-34;SDZ-33;SRH-208;T10C6.10;Y46G5A.39;HECW-1;UBC-21;Y54E10A.11;PAR-2;Y45F10B.8;SKR-6"
"C2_Stress response: C-type Lectin",3.47119263583451e-18,1.17152751459415e-16,33,257,"CLEC-10;CLEC-100;CLEC-114;CLEC-116;CLEC-119;CLEC-121;CLEC-122;CLEC-143;CLEC-164;CLEC-167;CLEC-168;CLEC-174;CLEC-179;CLEC-189;CLEC-193;CLEC-194;CLEC-195;CLEC-2;CLEC-207;CLEC-22;CLEC-233;CLEC-247;CLEC-248;CLEC-249;CLEC-255;CLEC-256;CLEC-31;CLEC-59;CLEC-64;CLEC-72;CLEC-94;F17B5.10;K04H8.2"
"C1_Stress response",1.19505564700819e-17,1.27472602347541e-16,57,808,"CLEC-10;CLEC-100;CLEC-114;CLEC-116;CLEC-119;CLEC-121;CLEC-122;CLEC-143;CLEC-164;CLEC-167;CLEC-168;CLEC-174;CLEC-179;CLEC-189;CLEC-193;CLEC-194;CLEC-195;CLEC-2;CLEC-207;CLEC-22;CLEC-233;CLEC-247;CLEC-248;CLEC-249;CLEC-255;CLEC-256;CLEC-31;CLEC-59;CLEC-64;CLEC-72;CLEC-94;F17B5.10;K04H8.2;CYP-13A11;CYP-13A5;CYP-33C5;CYP-33D3;CYP-33E2;CYP-35A4;F39G3.4;UGT-14;GST-17;GST-18;PALS-33;POML-2;W01B11.6;CST-2;K08D8.5;T05E12.6;T19C9.8;ZK896.1;LYS-5;F11D11.3;HPO-33;Y43C5A.3;SPP-4;KGB-2"
"C1_Proteolysis proteasome",1.72487895100975e-17,1.3799031608078e-16,54,737,"F56F11.4;C33E10.8;C53A3.1;F55C9.11;FBXA-102;FBXA-114;FBXA-120;FBXA-131;FBXA-134;FBXA-136;FBXA-143;FBXA-151;FBXA-152;FBXA-155;FBXA-157;FBXA-163;FBXA-164;FBXA-165;FBXA-185;FBXA-197;FBXA-218;FBXA-35;FBXA-43;FBXA-59;FBXA-60;FBXA-95;FBXB-105;FBXB-115;FBXB-2;FBXB-20;FBXB-38;FBXB-48;FBXB-7;FBXB-71;FBXB-82;FBXB-84;FBXB-99;FBXC-17;FBXC-22;FBXC-23;FBXC-34;SDZ-33;SRH-208;T10C6.10;Y46G5A.39;HECW-1;UBC-21;Y54E10A.11;PAR-2;Y45F10B.8;SKR-6;T28B8.3;UBQ-1;Y67D2.2"
