"pathway","pval","padj","overlap","size","overlapGenes"
"C3_Proteolysis proteasome: E3: F box",3.19369458280109e-15,6.61094778639826e-13,21,445,"FBXA-104;FBXA-116;FBXA-120;FBXA-141;FBXA-143;FBXA-165;FBXA-36;FBXA-59;FBXA-80;FBXA-88;FBXB-115;FBXB-24;FBXB-37;FBXB-43;FBXB-48;FBXB-51;FBXB-52;FBXB-56;FBXC-23;FBXC-25;FBXC-44"
"C2_Proteolysis proteasome: E3",1.13120973439988e-14,1.52713314143983e-12,23,598,"FBXA-104;FBXA-116;FBXA-120;FBXA-141;FBXA-143;FBXA-165;FBXA-36;FBXA-59;FBXA-80;FBXA-88;FBXB-115;FBXB-24;FBXB-37;FBXB-43;FBXB-48;FBXB-51;FBXB-52;FBXB-56;FBXC-23;FBXC-25;FBXC-44;Y60A9.3;SKR-4"
"C1_Unknown",1.11472456594917e-13,3.56711861103733e-12,83,8041,"B0294.1;C06C3.12;C06C3.7;C06H5.14;C17B7.5;C33B4.5;D1022.3;D1022.4;F07G11.3;F09C6.15;F15H10.7;F46G10.4;F49F1.15;F53C3.4;F54D12.7;F55B11.5;F55C12.2;H04J21.1;HASP-1;IRLD-42;IRLD-47;K02F6.4;K03A11.4;K08D8.11;K09C6.10;C55C3.73;F36H5.12;PUDL-1;R09E10.8;R11A5.3;SGCB-1;T02B11.11;T02B11.13;T08A9.13;TGN-38;W02H5.16;W04C9.6;W04H10.1;W08F4.13;Y105C5A.1274;Y110A7A.21;Y22D7AL.3;Y41E3.6;Y45F10C.2;Y47H9B.2;Y48G10A.6;Y48G1BM.6;Y52B11A.11;Y53F4B.62;Y55F3BR.10;Y57A10A.4;Y57A10A.5;Y59E9AL.8;ZC262.9;ZC443.7;ZK1053.4;ZK228.1;PQN-39;PQN-76;C05D9.7;C25D7.1;C27C7.1;C28F5.1;CD4.8;F35E8.1;F36G9.15;H14E04.3;K06B4.4;M116.1;MATH-34;NSPB-4;SPE-47;SSP-33;T05C1.3;T06A10.2;T16A1.2;Y14H12B.2;Y40A1A.3;Y45F10C.1;Y46G5A.20;Y46G5A.22;Y68A4A.13;Y73E7A.6"
"C2_Unknown",1.11472456594917e-13,7.52439082015687e-12,83,8041,"B0294.1;C06C3.12;C06C3.7;C06H5.14;C17B7.5;C33B4.5;D1022.3;D1022.4;F07G11.3;F09C6.15;F15H10.7;F46G10.4;F49F1.15;F53C3.4;F54D12.7;F55B11.5;F55C12.2;H04J21.1;HASP-1;IRLD-42;IRLD-47;K02F6.4;K03A11.4;K08D8.11;K09C6.10;C55C3.73;F36H5.12;PUDL-1;R09E10.8;R11A5.3;SGCB-1;T02B11.11;T02B11.13;T08A9.13;TGN-38;W02H5.16;W04C9.6;W04H10.1;W08F4.13;Y105C5A.1274;Y110A7A.21;Y22D7AL.3;Y41E3.6;Y45F10C.2;Y47H9B.2;Y48G10A.6;Y48G1BM.6;Y52B11A.11;Y53F4B.62;Y55F3BR.10;Y57A10A.4;Y57A10A.5;Y59E9AL.8;ZC262.9;ZC443.7;ZK1053.4;ZK228.1;PQN-39;PQN-76;C05D9.7;C25D7.1;C27C7.1;C28F5.1;CD4.8;F35E8.1;F36G9.15;H14E04.3;K06B4.4;M116.1;MATH-34;NSPB-4;SPE-47;SSP-33;T05C1.3;T06A10.2;T16A1.2;Y14H12B.2;Y40A1A.3;Y45F10C.1;Y46G5A.20;Y46G5A.22;Y68A4A.13;Y73E7A.6"
"C1_Proteolysis proteasome",8.6023746927e-13,1.376379950832e-11,23,737,"FBXA-104;FBXA-116;FBXA-120;FBXA-141;FBXA-143;FBXA-165;FBXA-36;FBXA-59;FBXA-80;FBXA-88;FBXB-115;FBXB-24;FBXB-37;FBXB-43;FBXB-48;FBXB-51;FBXB-52;FBXB-56;FBXC-23;FBXC-25;FBXC-44;Y60A9.3;SKR-4"
"C2_Transmembrane protein: seven transmembrane receptor",1.02089389887117e-11,4.59402254492027e-10,30,1461,"SDZ-20;SRA-20;SRA-23;SRB-5;SRBC-6;SRBC-83;SRD-28;SRG-46;SRH-105;SRH-115;SRH-137;SRH-148;SRH-194;SRH-203;SRH-234;SRH-48;SRI-38;SRJ-1;SRSX-14;SRT-17;SRW-122;SRW-83;SRX-122;SRX-24;SRZ-23;SRZ-54;SRZ-91;STR-101;STR-227;STR-23"
"C1_Transmembrane protein",3.02678466803239e-10,3.22857031256789e-09,31,1790,"SCL-11;SDZ-20;SRA-20;SRA-23;SRB-5;SRBC-6;SRBC-83;SRD-28;SRG-46;SRH-105;SRH-115;SRH-137;SRH-148;SRH-194;SRH-203;SRH-234;SRH-48;SRI-38;SRJ-1;SRSX-14;SRT-17;SRW-122;SRW-83;SRX-122;SRX-24;SRZ-23;SRZ-54;SRZ-91;STR-101;STR-227;STR-23"
"C3_Unknown",1.44205407368885e-08,1.49252596626796e-06,57,5739,"B0294.1;C06C3.12;C06C3.7;C06H5.14;C17B7.5;C33B4.5;D1022.3;D1022.4;F07G11.3;F09C6.15;F15H10.7;F46G10.4;F49F1.15;F53C3.4;F54D12.7;F55B11.5;F55C12.2;H04J21.1;HASP-1;IRLD-42;IRLD-47;K02F6.4;K03A11.4;K08D8.11;K09C6.10;C55C3.73;F36H5.12;PUDL-1;R09E10.8;R11A5.3;SGCB-1;T02B11.11;T02B11.13;T08A9.13;TGN-38;W02H5.16;W04C9.6;W04H10.1;W08F4.13;Y105C5A.1274;Y110A7A.21;Y22D7AL.3;Y41E3.6;Y45F10C.2;Y47H9B.2;Y48G10A.6;Y48G1BM.6;Y52B11A.11;Y53F4B.62;Y55F3BR.10;Y57A10A.4;Y57A10A.5;Y59E9AL.8;ZC262.9;ZC443.7;ZK1053.4;ZK228.1"
"C3_Transmembrane protein: seven transmembrane receptor: srh",8.38249590355756e-06,0.000578392217345472,8,216,"SRH-105;SRH-115;SRH-137;SRH-148;SRH-194;SRH-203;SRH-234;SRH-48"
"C3_Unknown: regulated by multiple stresses",0.000117342566686249,0.00607247782601339,24,2231,"C05D9.7;C25D7.1;C27C7.1;C28F5.1;CD4.8;F35E8.1;F36G9.15;H14E04.3;K06B4.4;M116.1;MATH-34;NSPB-4;SPE-47;SSP-33;T05C1.3;T06A10.2;T16A1.2;Y14H12B.2;Y40A1A.3;Y45F10C.1;Y46G5A.20;Y46G5A.22;Y68A4A.13;Y73E7A.6"
"C2_Transcription factor: NHR",0.000220922472792802,0.00745613345675707,7,259,"NHR-123;NHR-16;NHR-248;NHR-267;NHR-271;NHR-73;NHR-78"
"C3_Transcription factor: NHR",0.000220922472792802,0.009146190373622,7,259,"NHR-123;NHR-16;NHR-248;NHR-267;NHR-271;NHR-73;NHR-78"
"C1_Transcription factor",0.00598515875329509,0.0478812700263607,8,581,"NHR-123;NHR-16;NHR-248;NHR-267;NHR-271;NHR-73;NHR-78;TBX-32"
"C1_Stress response",0.0135599888504394,0.086783928642812,9,808,"CLEC-189;CLEC-258;CLEC-70;CYP-29A4;CYP-34A5;CYP-35A4;K10D11.5;HPO-33;ZK228.4"
"C2_Metabolism: lipid",0.00321444107862987,0.0867899091230064,8,523,"VIT-3;VIT-4;Y65B4A.8;LIPS-1;OAC-25;OAC-28;Y53G8B.2;SPL-3"
"C3_Transmembrane protein: seven transmembrane receptor: srz",0.00288997890764504,0.0997042723137537,3,61,"SRZ-23;SRZ-54;SRZ-91"
"C1_Cytoskeleton",0.0289326812821855,0.154307633504989,5,368,"D2096.11;K06H7.8;K09C6.8;DNC-2;T08D2.8"
"C1_Protein modification",0.0357318581865054,0.163345637424024,4,266,"T26H5.8;T27F6.1;T28A8.2;PINN-4"
